"","year","sector","category","GDP"
"261",2019,"Lainnya","Lainnya",19114.5378756644
"262",2020,"Tanaman Pangan","Lahan",80032382.3721165
"263",2020,"Tanaman Hortikultura","Lahan",30651828.409974
"264",2020,"Perkebunan","Lahan",13051899.147813
"265",2020,"Peternakan","Lahan",21631377.0144768
"266",2020,"Jasa Pertanian dan Perburuan ","Jasa",2567650.06103493
"267",2020,"Kehutanan dan Penebangan Kayu","Lahan",1593789.96886567
"268",2020,"Perikanan","Lahan",18551486.0488515
"269",2020,"Pertambangan Minyak Gas dan Panas Bumi","Lahan",22218250.4976275
"270",2020,"Pertambangan Bijih Logam","Lahan",1145754.1457302
"271",2020,"Pertambangan dan Penggalian Lainnya","Lahan",9942432.28163892
"272",2020,"Industri Batubara dan Pengilangan Migas","Indirect Land-based",31860575.4522301
"273",2020,"Industri Makanan dan Minuman","Indirect Land-based",84532016.7306454
"274",2020,"Pengolahan Tembakau","Indirect Land-based",3848662.32500791
"275",2020,"Industri Tekstil dan Pakaian Jadi","Industri",116125476.541259
"276",2020,"Industri Kulit Barang dari Kulit dan Alas Kaki","Industri",11178486.5678469
"277",2020,"Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya","Indirect Land-based",8078513.58632793
"278",2020,"Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman","Indirect Land-based",20247763.8017866
"279",2020,"Industri Kimia Farmasi dan Obat Tradisional","Industri",47104776.572928
"280",2020,"Industri Karet Barang dari Karet dan Plastik","Indirect Land-based",24774325.2408711
"281",2020,"Industri Barang Galian bukan Logam","Indirect Land-based",14778003.5805045
"282",2020,"Industri Logam Dasar","Industri",22891135.6579289
"283",2020,"Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik","Industri",187340206.422686
"284",2020,"Industri Mesin dan Perlengkapan YTDL","Industri",77542569.3703845
"285",2020,"Industri Alat Angkutan","Industri",164631704.012661
"286",2020,"Industri Furnitur","Indirect Land-based",4472128.3120814
"287",2020,"Industri pengolahan lainnya jasa reparasi dan pemasangan mesin dan peralatan","Industri",9193226.99217674
"288",2020,"Ketenagalistrikan","Energi",2868970.39943842
"289",2020,"Pengadaan Gas dan Produksi Es","Energi",12887123.3737452
"290",2020,"Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang","Limbah",1501872.56220828
"291",2020,"Konstruksi","Jasa",174509992.263243
"292",2020,"Perdagangan Mobil Sepeda Motor dan Reparasinya","Jasa",41659229.9871418
"293",2020,"Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor","Jasa",253065661.148234
"294",2020,"Angkutan Rel","Transportasi",1256124.11408272
"295",2020,"Angkutan Darat","Transportasi",93342601.7169201
"296",2020,"Angkutan Laut","Transportasi",271597.979104028
"297",2020,"Angkutan Sungai Danau dan Penyeberangan","Transportasi",1599.17922995206
"298",2020,"Angkutan Udara","Transportasi",10866505.7960761
"299",2020,"Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir","Jasa",4148413.23714273
"300",2020,"Penyediaan Akomodasi","Jasa",8073806.6098397
"301",2020,"Penyediaan Makan Minum","Jasa",40847910.5977905
"302",2020,"Informasi dan Komunikasi","Jasa",50977920.2008163
"303",2020,"Jasa Perantara Keuangan","Jasa",38689622.6959356
"304",2020,"Asuransi dan Dana Pensiun","Jasa",4081348.5120765
"305",2020,"Jasa Keuangan Lainnya","Jasa",6068527.98144271
"306",2020,"Jasa Penunjang Keuangan","Jasa",671602.514891232
"307",2020,"Real Estate","Jasa",18196412.2361188
"308",2020,"Jasa Perusahaan","Jasa",8051303.28445112
"309",2020,"Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib","Jasa",46643582.7193733
"310",2020,"Jasa Pendidikan","Jasa",49196039.0497228
"311",2020,"Jasa Kesehatan dan Kegiatan Sosial","Jasa",13489948.1887325
"312",2020,"Jasa lainnya","Jasa",34997529.3430075
"313",2020,"Lainnya","Lainnya",20070.2647694476
"314",2021,"Tanaman Pangan","Lahan",84034027.3725675
"315",2021,"Tanaman Hortikultura","Lahan",32184419.9900188
