"","year","id.sector","sector","land.requirement"
"350",2022,"32","Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor",210.911878378066
"351",2022,"33","Angkutan Rel",129.578562998252
"352",2022,"34","Angkutan Darat",210.911878407143
"353",2022,"35","Angkutan Laut",381.206847116435
"354",2022,"36","Angkutan Sungai Danau dan Penyeberangan",381.206842683221
"355",2022,"37","Angkutan Udara",286.353067120558
"356",2022,"38","Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir",115.309290422116
"357",2022,"39","Penyediaan Akomodasi",210.91187849316
"358",2022,"40","Penyediaan Makan Minum",137.463639808614
"359",2022,"41","Informasi dan Komunikasi",32.492705388467
"360",2022,"42","Jasa Perantara Keuangan",97.1426832009742
"361",2022,"43","Asuransi dan Dana Pensiun",97.1426830774962
"362",2022,"44","Jasa Keuangan Lainnya",97.1426832570301
"363",2022,"45","Jasa Penunjang Keuangan",97.1426832853639
"364",2022,"46","Real Estate",137.463639680799
"365",2022,"47","Jasa Perusahaan",115.309290141099
"366",2022,"48","Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib",11477.2637079197
"367",2022,"49","Jasa Pendidikan",91.8315256749611
"368",2022,"50","Jasa Kesehatan dan Kegiatan Sosial",43.6775517583943
"369",2022,"51","Jasa lainnya",291.219755217061
"370",2022,"52","Lainnya",186712.189264288
"371",2022,"53","lainnya (tidak menghasilkan output)",491085.775892531
"372",2023,"1","Tanaman Pangan",1811707.67958844
"373",2023,"2","Tanaman Hortikultura",766930.336976574
"374",2023,"3","Perkebunan",82480.1869161842
"375",2023,"4","Peternakan",1242.02732465028
"376",2023,"5","Jasa Pertanian dan Perburuan ",118641.950689152
"377",2023,"6","Kehutanan dan Penebangan Kayu",251405.329851455
"378",2023,"7","Perikanan",28118.0243236385
"379",2023,"8","Pertambangan Minyak Gas dan Panas Bumi",687.962353174798
"380",2023,"9","Pertambangan Bijih Logam",491.401681205984
"381",2023,"10","Pertambangan dan Penggalian Lainnya",190.24427325671
"382",2023,"11","Industri Batubara dan Pengilangan Migas",1479.05609644762
"383",2023,"12","Industri Makanan dan Minuman",5138.60433582521
"384",2023,"13","Pengolahan Tembakau",1976.97491337913
"385",2023,"14","Industri Tekstil dan Pakaian Jadi",164.969170257583
"386",2023,"15","Industri Kulit Barang dari Kulit dan Alas Kaki",2298.9058966454
"387",2023,"16","Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya",93.6855355247185
"388",2023,"17","Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman",339.696777909714
"389",2023,"18","Industri Kimia Farmasi dan Obat Tradisional",1072.45656565358
"390",2023,"19","Industri Karet Barang dari Karet dan Plastik",468.427677792726
"391",2023,"20","Industri Barang Galian bukan Logam",8647.5612213439
"392",2023,"21","Industri Logam Dasar",53.5255739526728
"393",2023,"22","Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik",3.49952102039651
