year,id.sector,sector,Tconsumption,Padat_Ditimbun_di_TPA,Padat_Ditimbun_Lubang,Padat_Kompos,Padat_3R,Padat_ins_sampah_domestik,Padat_ins_sampah_industri,Padat_dibakar_terbuka,Padat_tidak_terkelola,Cair_septic_tank,Cair_MCK_plus,Cair_IPAL_Aerob,Cair_IPAL_Anaerob,Cair_tidak_terkelola,Cair_Biogas,Cair_Pengolahan_KIMIA,Cair_3R
2017,24,Industri Alat Angkutan,0.268046457,0.000250473,0.000116561,2.39129E-05,0,0,0,0.000519632,0.000201647,0.196490287,0,0,0.002562569,0.067881375,0,0,0
2017,25,Industri Furnitur,0.00361714,3.38E-06,1.57293E-06,3.22691E-07,0,0,0,7.01215E-06,2.72111E-06,0.002651529,0,0,3.45805E-05,0.000916022,0,0,0
2017,26,"Industri pengolahan lainnya, jasa reparasi dan pemasangan mesin dan peralatan",0.087698553,8.1949E-05,3.81361E-05,7.82373E-06,0,0,0,0.000170011,6.59741E-05,0.064287042,0,0,0.000838413,0.022209204,0,0,0
2017,27,Ketenagalistrikan,1.56953E-05,0,0,1.17319E-07,1.53484E-05,0,0,0,2.29537E-07,0,0,0,0,0,0,0,0
2017,28,Pengadaan Gas dan Produksi Es,0.026681145,0.017236325,0,0.004529651,0.004556288,0,0,0,0,0.000264173,0,0,3.44527E-06,9.12637E-05,0,0,0
2017,29,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",7.50998078,0.007018161,0.003266,0.000670029,0.105498268,0,0,0.014559878,0.005650056,5.42749967,0,0,0.070783856,1.875034867,0,0,0
2017,30,Konstruksi,0.03542183,3.30996E-05,1.54034E-05,3.16004E-06,0,0,0,6.86684E-05,2.66472E-05,0.025965818,0,0,0.000338639,0.008970395,0,0,0
2017,31,"Perdagangan Mobil, Sepeda Motor dan Reparasinya",0.473615918,0.000442566,0.000205954,4.2252E-05,0,0,0,0.000918147,0.000356293,0.347182085,0,0,0.004527847,0.119940775,0,0,0
2017,32,"Perdagangan Besar dan Eceran, Bukan Mobil dan Sepeda Motor",0.313914945,0.000293335,0.000136507,2.80049E-05,0,0,0,0.000608552,0.000236153,0.230113983,0,0,0.003001079,0.079497332,0,0,0
2017,33,Angkutan Rel,0.535184149,0.002662608,0,0,0,0,0,0,0,0,0,0,0.372765079,0.159756462,0,0,0
2017,34,Angkutan Darat,0.210104126,0.001045294,0,0,0,0,0,0,0,0,0,0,0.146341182,0.062717649,0,0,0
2017,35,Angkutan Laut,0.353772397,1.76885E-06,0,0,0,0,0,0,0,0,0,0,0.24763944,0.106131189,0,0,0
2017,36,Angkutan Sungai Danau dan Penyeberangan,0.000207561,1.93953E-07,9.02588E-08,1.85168E-08,0,0,0,4.02375E-07,1.56144E-07,0.000152152,0,0,1.98432E-06,5.25637E-05,0,0,0
2017,37,Angkutan Udara,0.32312904,0.000447134,0,0,0,0,0,0,0,0,0,0.161340953,0.112901406,0.048439547,0,0,0
2017,38,"Pergudangan dan Jasa Penunjang Angkutan, Pos dan Kurir",0.013027927,1.21738E-05,5.66526E-06,1.16224E-06,0,0,0,2.52558E-05,9.80068E-06,0.009550065,0,0,0.000124549,0.003299255,0,0,0
2017,39,Penyediaan Akomodasi,0.015948547,0,0,0,0,0,0,0,0,0,0,0,0.011163983,0.004784564,0,0,0
2017,40,Penyediaan Makan Minum,5.0110617,0.000117576,0,0,2.02717E-05,0,0,4.66249E-05,4.86521E-05,0,0,0,3.507579999,1.50324858,0,0,0
2017,41,Informasi dan Komunikasi,0.003691109,3.44912E-06,1.6051E-06,3.2929E-07,0,0,0,7.15554E-06,2.77676E-06,0.002705752,0,0,3.52876E-05,0.000934754,0,0,0
2017,42,Jasa Perantara Keuangan,0.143727312,0.000134305,6.25005E-05,1.28221E-05,0,0,0,0.000278628,0.000108123,0.10535868,0,0,0.001374057,0.036398196,0,0,0
2017,43,Asuransi dan Dana Pensiun,0.005346691,4.99616E-06,2.32503E-06,4.76987E-07,0,0,0,1.0365E-05,4.02222E-06,0.003919368,0,0,5.11153E-05,0.001354022,0,0,0
2017,44,Jasa Keuangan Lainnya,0.016333862,1.5263E-05,7.10286E-06,1.45717E-06,0,0,0,3.16646E-05,1.22877E-05,0.011973466,0,0,0.000156154,0.004136466,0,0,0
2017,45,Jasa Penunjang Keuangan,0.004264422,3.98485E-06,1.8544E-06,3.80436E-07,0,0,0,8.26696E-06,3.20805E-06,0.003126016,0,0,4.07686E-05,0.001079943,0,0,0
2017,46,Real Estate,0.001438465,1.34416E-06,6.25523E-07,1.28328E-07,0,0,0,2.78859E-06,1.08213E-06,0.00105446,0,0,1.3752E-05,0.000364284,0,0,0
2017,47,Jasa Perusahaan,0.027300233,2.55104E-05,1.18716E-05,2.4355E-06,0,0,0,5.29239E-05,2.05375E-05,0.020012317,0,0,0.000260995,0.006913643,0,0,0
2017,48,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",0.017570767,1.64188E-05,7.64073E-06,1.56752E-06,0,0,0,3.40625E-05,1.32182E-05,0.012880175,0,0,0.000167979,0.004449706,0,0,0
