"","year","id.land.use","land.use","luas.land.use"
"237",2026,"7","Hutan.tanaman",322696.417947337
"238",2026,"8","Perkebunan",107247.949903784
"239",2026,"9","Semak.belukar",1765.13427284953
"240",2026,"10","Semak.belukar.rawa",0
"241",2026,"11","Savanna...Padang.rumput",0
"242",2026,"12","Pertanian.lahan.kering",1146854.28533478
"243",2026,"13","Pertanian.lahan.kering..campur.semak...kebun.campur",954247.268252031
"244",2026,"14","Sawah",921418.521010976
"245",2026,"15","Tambak",33257.8386663687
"246",2026,"16","Pemukiman",135103.087978056
"247",2026,"17","Transmigrasi",0
"248",2026,"18","Lahan.terbuka",4995.17749606065
"249",2026,"19","Pertambangan",4445.24836736201
"250",2026,"20","Tubuh.air",13571.9493116351
"251",2026,"21","Rawa",9.07193007154489
"252",2026,"22","Awan",0
"253",2026,"23","Bandara",96.2200440903481
"254",2027,"1","Hutan.lahan.kering.primer",6342.82551498109
"255",2027,"2","Hutan.lahan.kering.sekunder...bekas.tebangan",77034.4682885939
"256",2027,"3","Hutan.rawa.primer",0
"257",2027,"4","Hutan.rawa.sekunder",0
"258",2027,"5","Hutan.mangrove.primer",0
"259",2027,"6","Hutan.mangrove.sekunder",496.44310544551
"260",2027,"7","Hutan.tanaman",306268.083897393
"261",2027,"8","Perkebunan",103016.02303157
"262",2027,"9","Semak.belukar",1532.22197642494
"263",2027,"10","Semak.belukar.rawa",0
"264",2027,"11","Savanna...Padang.rumput",0
"265",2027,"12","Pertanian.lahan.kering",1177339.13430027
"266",2027,"13","Pertanian.lahan.kering..campur.semak...kebun.campur",978807.829248375
"267",2027,"14","Sawah",924536.925069053
"268",2027,"15","Tambak",29609.4076816978
"269",2027,"16","Pemukiman",115557.097641239
"270",2027,"17","Transmigrasi",0
"271",2027,"18","Lahan.terbuka",4091.47144553095
"272",2027,"19","Pertambangan",5265.87586206027
"273",2027,"20","Tubuh.air",11472.5697170037
"274",2027,"21","Rawa",7.43067546105249
"275",2027,"22","Awan",0
"276",2027,"23","Bandara",84.1925448969855
"277",2028,"1","Hutan.lahan.kering.primer",5366.81160870605
"278",2028,"2","Hutan.lahan.kering.sekunder...bekas.tebangan",65445.1326036626
"279",2028,"3","Hutan.rawa.primer",0
"280",2028,"4","Hutan.rawa.sekunder",0
"281",2028,"5","Hutan.mangrove.primer",0
"282",2028,"6","Hutan.mangrove.sekunder",428.438641736391
"283",2028,"7","Hutan.tanaman",289147.582824275
"284",2028,"8","Perkebunan",99000.9794025042
"285",2028,"9","Semak.belukar",1284.88572131233
"286",2028,"10","Semak.belukar.rawa",0
"287",2028,"11","Savanna...Padang.rumput",0
"288",2028,"12","Pertanian.lahan.kering",1209089.97896467
"289",2028,"13","Pertanian.lahan.kering..campur.semak...kebun.campur",1004434.26585231
"290",2028,"14","Sawah",927392.110766235
"291",2028,"15","Tambak",25887.0526067102
"292",2028,"16","Pemukiman",95218.9056220305
"293",2028,"17","Transmigrasi",0
"294",2028,"18","Lahan.terbuka",3130.47194134904
"295",2028,"19","Pertambangan",6292.28080447779
"296",2028,"20","Tubuh.air",9263.74878938875
"297",2028,"21","Rawa",5.68536805053445
"298",2028,"22","Awan",0
"299",2028,"23","Bandara",73.6684825777015
"300",2029,"1","Hutan.lahan.kering.primer",4328.41041422754
"301",2029,"2","Hutan.lahan.kering.sekunder...bekas.tebangan",53116.0304559102
"302",2029,"3","Hutan.rawa.primer",0
"303",2029,"4","Hutan.rawa.sekunder",0
"304",2029,"5","Hutan.mangrove.primer",0
"305",2029,"6","Hutan.mangrove.sekunder",357.335326287122
"306",2029,"7","Hutan.tanaman",271282.726905444
"307",2029,"8","Perkebunan",95192.468762981
"308",2029,"9","Semak.belukar",1022.13284907246
"309",2029,"10","Semak.belukar.rawa",0
"310",2029,"11","Savanna...Padang.rumput",0
"311",2029,"12","Pertanian.lahan.kering",1242181.0784692
"312",2029,"13","Pertanian.lahan.kering..campur.semak...kebun.campur",1031190.09229774
"313",2029,"14","Sawah",929972.927142553
"314",2029,"15","Tambak",22075.5960323443
"315",2029,"16","Pemukiman",74052.9749118706
"316",2029,"17","Transmigrasi",0
"317",2029,"18","Lahan.terbuka",2108.21218684382
"318",2029,"19","Pertambangan",7577.32718968837
"319",2029,"20","Tubuh.air",6936.39720449538
"320",2029,"21","Rawa",3.82880359108538
"321",2029,"22","Awan",0
"322",2029,"23","Bandara",64.4610477531593
"323",2030,"1","Hutan.lahan.kering.primer",3225.16056901986
"324",2030,"2","Hutan.lahan.kering.sekunder...bekas.tebangan",40017.8901432334
"325",2030,"3","Hutan.rawa.primer",0
"326",2030,"4","Hutan.rawa.sekunder",0
"327",2030,"5","Hutan.mangrove.primer",0
"328",2030,"6","Hutan.mangrove.sekunder",282.949527425212
"329",2030,"7","Hutan.tanaman",252632.022350246
"330",2030,"8","Perkebunan",91577.7377881265
"331",2030,"9","Semak.belukar",743.365599196773
"332",2030,"10","Semak.belukar.rawa",0
"333",2030,"11","Savanna...Padang.rumput",0
"334",2030,"12","Pertanian.lahan.kering",1276649.1086313
"335",2030,"13","Pertanian.lahan.kering..campur.semak...kebun.campur",1059104.01667501
"336",2030,"14","Sawah",932241.94345588
"337",2030,"15","Tambak",18163.8988304925
"338",2030,"16","Pemukiman",52073.7366147921
"339",2030,"17","Transmigrasi",0
"340",2030,"18","Lahan.terbuka",1022.40506984667
"341",2030,"19","Pertambangan",9184.58915420949
"342",2030,"20","Tubuh.air",4484.91538786463
"343",2030,"21","Rawa",1.85682837211624
"344",2030,"22","Awan",0
"345",2030,"23","Bandara",56.403374979344
