"","Year","TotalEmission","CummulativeEmission","ResultTotalGDP","CummulativeGDP","EmissionIntensity","CummulativeEmissionIntensity","ID","Category","ScenarioName"
"3768",2018,1887283.32607349,30497505.7000595,197868799.164221,1359174554.4543,0.00953805417552031,0.234231377146175,"combination2.156","Q3","combination2.156"
"3769",2019,1905897.53411272,32403403.2341722,213074348.918975,1572248903.37327,0.00894475352749979,0.243142336178945,"combination2.156","Q3","combination2.156"
"3770",2020,1929973.07542963,34333376.3096018,229597705.272212,1801846608.64548,0.00840589008997912,0.251516849462355,"combination2.156","Q3","combination2.156"
"3771",2021,1973277.82291504,36306654.1325169,247565827.218091,2049412435.86357,0.00797071972771389,0.259458550549167,"combination2.156","Q3","combination2.156"
"3772",2022,2045816.46278336,38352470.5953002,267114350.988064,2316526786.85163,0.00765895375975053,0.267090820079459,"combination2.156","Q3","combination2.156"
"3773",2023,2106852.83905242,40459323.4343526,288393047.043365,2604919833.89501,0.00730549110199461,0.274371695189019,"combination2.156","Q3","combination2.156"
"3774",2024,2177184.54292044,42636507.9772731,311562020.888808,2916481854.78382,0.00698796514642406,0.281337859670933,"combination2.156","Q3","combination2.156"
"3775",2025,2257281.8747771,44893789.8520502,336810255.304607,3253292110.08842,0.00670193926469265,0.288019268905565,"combination2.156","Q3","combination2.156"
"3776",2026,2441989.59453381,47335779.446584,364326329.578605,3617618439.66703,0.00670275353790191,0.294703630077685,"combination2.156","Q3","combination2.156"
"3777",2027,2610572.00457681,49946351.4511608,394332041.182925,4011950480.84994,0.00662023810377055,0.301307363814419,"combination2.156","Q3","combination2.156"
"3778",2028,2771573.1353274,52717924.5864882,427068472.660016,4439018953.50996,0.0064897629133439,0.307781997745972,"combination2.156","Q3","combination2.156"
"3779",2029,3027768.59420869,55745693.1806969,462797093.047519,4901816046.55749,0.00654232414095525,0.314310517519229,"combination2.156","Q3","combination2.156"
"3780",2030,3260379.51778229,59006072.6984792,501807907.704069,5403623954.26155,0.00649726612061488,0.32079518037933,"combination2.156","Q3","combination2.156"
"3781",2010,14442550.5669717,14442550.5669717,112220891.684952,112220891.684952,0.128697521024139,0.128735282921356,"combination2.157","Q3","combination2.157"
"3782",2011,1732847.08722264,16175397.6541943,120161943.812299,232382835.497251,0.0144209308891463,0.143085596568876,"combination2.157","Q3","combination2.157"
"3783",2012,3340752.78666651,19516150.4408608,128755459.609556,361138295.106808,0.0259464942053499,0.168982946417319,"combination2.157","Q3","combination2.157"
"3784",2013,1872979.38402373,21389129.8248846,138076267.905383,499214563.01219,0.0135648175637771,0.1824932120468,"combination2.157","Q3","combination2.157"
"3785",2014,1891593.70142215,23280723.5263067,148175361.653804,647389924.665994,0.0127659124992835,0.195207709453699,"combination2.157","Q3","combination2.157"
"3786",2015,1903366.82789555,25184090.3542023,159123056.458185,806512981.124179,0.0119616029899208,0.20712129664436,"combination2.157","Q3","combination2.157"
"3787",2016,1883076.03856585,27067166.3927681,170997734.732676,977510715.856854,0.0110122864581201,0.21808878851374,"combination2.157","Q3","combination2.157"
"3788",2017,1885795.00606464,28952961.3988328,183886189.920963,1161396905.77782,0.0102552291005387,0.228301780292978,"combination2.157","Q3","combination2.157"
"3789",2018,1869680.79595973,30822642.1947925,197878987.815237,1359275893.59306,0.0094486070330291,0.237711252971949,"combination2.157","Q3","combination2.157"
"3790",2019,1888279.67597545,32710921.8707679,213084537.569991,1572360431.16304,0.0088616456994455,0.24653520274953,"combination2.157","Q3","combination2.157"
"3791",2020,1912317.2689179,34623239.1396858,229607893.923228,1801968325.08627,0.00832862161767532,0.254828833915221,"combination2.157","Q3","combination2.157"
"3792",2021,1955562.35799253,36578801.4976784,247576015.869107,2049544340.95538,0.00789883604487131,0.262695311047332,"combination2.157","Q3","combination2.157"
"3793",2022,2028019.76176531,38606821.2594437,267124539.63908,2316668880.59446,0.00759203839716645,0.270257584683059,"combination2.157","Q3","combination2.157"
