"","Year","TotalEmission","CummulativeEmission","ResultTotalGDP","CummulativeGDP","EmissionIntensity","CummulativeEmissionIntensity","ID"
"1509",2027,-1402372.23524127,-9939727.88907395,93947.7163750529,1773093.00888538,-14.9271561816659,-0.0368968767554705,"combination2.49"
"1510",2028,-1420166.99245639,-11359894.8815303,93947.7163754702,1867040.7252636,-15.1165674616355,-0.0402413209155039,"combination2.49"
"1511",2029,-1375288.5786557,-12735183.460186,93814.6518252492,1960855.37709618,-14.6596352690994,-0.0432303680174813,"combination2.49"
"1512",2030,-1374686.28231651,-14109869.7425026,93681.5872729421,2054536.96435928,-14.6740285079858,-0.0459856542683572,"combination2.49"
"1513",2010,-714376.595189003,-714376.595189003,114520.581107765,114520.581107765,-6.23797563965175,-0.00646639359834678,"combination2.50"
"1514",2011,112772.917624943,-601603.67756406,103515.084751412,218035.665858895,1.08943462583993,-0.00560841624854244,"combination2.50"
"1515",2012,-146324.982485574,-747928.660049634,95928.7757756263,313964.44163537,-1.52535025389902,-0.00681552391453805,"combination2.50"
"1516",2013,125870.664308781,-622057.995740853,96406.5327165127,410370.974351406,1.30562380745409,-0.00596851612816029,"combination2.50"
"1517",2014,119495.262782108,-502562.732958745,95771.1155998707,506142.089951277,1.24771714345854,-0.00522156396451151,"combination2.50"
"1518",2015,93601.5275237691,-408961.205434976,95349.382144779,601491.472096086,0.981668946544866,-0.00468826695936042,"combination2.50"
"1519",2016,16689.60140175,-392271.604033226,94748.6970642805,696240.169159651,0.176145972650444,-0.00464140393018853,"combination2.50"
"1520",2017,-47434.6344995219,-439706.238532748,95477.6416040957,791717.810764074,-0.496814057224127,-0.00494677270493893,"combination2.50"
"1521",2018,-243555.783188876,-683262.021721624,95477.6416041851,887195.452369452,-2.55091955662843,-0.00622182750114875,"combination2.50"
"1522",2019,-301533.207143255,-984795.228864878,99101.420515269,986296.872881174,-3.04267290595291,-0.00767933046221103,"combination2.50"
"1523",2020,-587504.539192431,-1572299.76805731,99262.0657940805,1085558.93867731,-5.91872166363343,-0.0102776972439755,"combination2.50"
"1524",2021,-828782.417031687,-2401082.185089,99262.0657948256,1184821.00447106,-8.34943752575911,-0.0136620942937418,"combination2.50"
"1525",2022,-998426.859017629,-3399509.04410663,98950.8602618575,1283771.8647294,-10.0901281340602,-0.0174336829932398,"combination2.50"
"1526",2023,-1040120.01023357,-4439629.05434019,98529.1268080473,1382300.99154472,-10.5564724252546,-0.0210711647072124,"combination2.50"
"1527",2024,-1293322.61194208,-5732951.66628227,95077.0928213,1477378.08436918,-13.6028834450472,-0.0252497708155075,"combination2.50"
"1528",2025,-1413697.25493005,-7146648.92121232,97064.7178102136,1574442.80217028,-14.5644811711521,-0.0294728807296192,"combination2.50"
"1529",2026,-1392529.20837313,-8539178.12958545,95098.7406277061,1669541.54280663,-14.6429826428998,-0.0333181829349094,"combination2.50"
"1530",2027,-1403313.30228559,-9942491.43187104,94048.7962384224,1763590.33903551,-14.9211192318513,-0.0368977703942184,"combination2.50"
"1531",2028,-1421254.70337604,-11363746.1352471,94048.7962388992,1857639.13527679,-15.1118861720018,-0.0402447817928138,"combination2.50"
"1532",2029,-1376522.1960709,-12740268.331318,93915.7316886187,1951554.86697292,-14.6569927244438,-0.0432365130787369,"combination2.50"
"1533",2030,-1376066.55064161,-14116334.8819596,93782.6671363115,2045337.53409958,-14.6729304322463,-0.0459945669624808,"combination2.50"
"1534",2010,-709540.133006606,-709540.133006606,116864.696913943,116864.696913943,-6.07146684793185,-0.00642516519450352,"combination2.51"
"1535",2011,112283.485797504,-597256.647209102,105859.20055759,222723.897471279,1.06068707496444,-0.00557310671982494,"combination2.51"
"1536",2012,-152081.727958571,-749338.375167673,91977.4680799097,314701.365551949,-1.65346721467091,-0.00682207490505821,"combination2.51"
"1537",2013,124197.636483205,-625140.738684468,92455.2250207961,407156.590572298,1.34332739393874,-0.00598451917511261,"combination2.51"
"1538",2014,117821.393935036,-507319.344749432,91819.8079041541,498976.398476481,1.28318057535062,-0.00524639475376448,"combination2.51"
"1539",2015,91926.9981803596,-415392.346569072,91398.0744490623,590374.472925544,1.00578703363813,-0.00472133602632641,"combination2.51"
"1540",2016,15014.5814806819,-400377.765088391,90797.3893685341,681171.862293482,0.165363581322143,-0.00468215527608806,"combination2.51"
"1541",2017,-49109.9849359319,-449487.750024322,91526.3339083791,772698.19620204,-0.536566721716316,-0.00499468241896694,"combination2.51"
"1542",2018,-245231.313227847,-694719.06325217,91526.3339084685,864224.53011179,-2.67935251807521,-0.00627640239364935,"combination2.51"
"1543",2019,-303208.774382271,-997927.837634441,95150.1128195226,959374.642927647,-3.18663599440378,-0.00774010671356828,"combination2.51"
"1544",2020,-589180.00915103,-1587107.84678547,95310.7580983639,1054685.40102816,-6.18167372609687,-0.0103442390733255,"combination2.51"
"1545",2021,-830457.662614077,-2417565.50939955,95310.7580991089,1149996.15912604,-8.71315766632058,-0.0137339926511419,"combination2.51"
"1546",2022,-1000101.76001098,-3417667.26941053,94999.5525661409,1244995.71168852,-10.5274365299214,-0.0175105542784362,"combination2.51"
"1547",2023,-1041794.45286484,-4459461.72227538,94577.8191123009,1339573.53080845,-11.0152090907047,-0.0211526495178318,"combination2.51"
"1548",2024,-1294996.48844849,-5754458.21072387,91125.7851256132,1430699.31593704,-14.2110873082014,-0.0253355327269544,"combination2.51"
"1549",2025,-1415370.46316846,-7169828.67389233,93113.4101144671,1523812.72604227,-15.2005007810207,-0.0295626051087188,"combination2.51"
"1550",2026,-1394201.65147696,-8564030.32536929,91147.4329319596,1614960.15898275,-15.296115388326,-0.033411575789019,"combination2.51"
"1551",2027,-1404984.88831901,-9969015.2136883,90097.488542676,1705057.64751625,-15.5940516327879,-0.0369945572570833,"combination2.51"
"1552",2028,-1422925.34504045,-11391940.5587287,90097.4885431528,1795155.13606167,-15.7931743497925,-0.0403447066483209,"combination2.51"
"1553",2029,-1378191.81043143,-12770132.3691602,89964.4239929318,1885119.56006241,-15.3192978875706,-0.0433393373233513,"combination2.51"
"1554",2030,-1377735.05884507,-14147867.4280052,89831.3594405651,1974950.91949272,-15.336905368293,-0.0461000684068611,"combination2.51"
"1555",2010,-709918.342508063,-709918.342508063,120168.326349378,120168.326349378,-5.90769934203831,-0.006431233266241,"combination2.52"
"1556",2011,112403.865910163,-597514.4765979,109162.829993039,229331.156342149,1.02968992208548,-0.00558076874704949,"combination2.52"
"1557",2012,-151952.660058076,-749467.136655975,95281.0975153595,324612.253858328,-1.59478284802062,-0.00683114390699407,"combination2.52"
"1558",2013,124335.251785405,-625131.88487057,95758.8544562459,420371.108314097,1.29842041753138,-0.00599482562111142,"combination2.52"
"1559",2014,117967.423916422,-507164.460954148,95123.4373395741,515494.545653701,1.24015097872566,-0.00525778523514603,"combination2.52"
